limited,884
four,374
facilities,1268
whose,647
paris,1630
adviser,1622
voted,1881
under,141
worth,1046
placed,1689
risk,686
rise,524
every,579
jack,1754
affect,1956
lehman,1239
believed,1531
school,774
companies,122
wednesday,851
announced,430
force,578
leaders,813
guidelines,1927
estimates,847
japanese,203
elections,1780
second,368
street,319
estimated,483
machines,855
even,137
established,1812
pace,1691
panama,1883
contributed,1269
asia,1993
spokesman,313
above,667
dr.,1070
new,43
net,156
increasing,1061
ever,853
told,569
never,598
here,371
hundreds,1817
reported,245
protection,984
china,665
active,1025
balance,1685
auction,856
items,1551
employees,495
changed,1036
reports,690
credit,377
analysts,188
military,844
changes,553
golden,1899
campaign,872
reagan,1294
highly,1281
brought,1154
total,385
unit,185
would,50
<s>,4
hospital,1858
m.,1594
negative,1461
call,781
asset,1297
strike,1170
until,333
composite,451
hurt,1000
phone,1565
hold,887
must,426
me,876
room,1518
rights,586
work,249
plunged,1575
movies,1887
already,315
my,440
example,512
estate,473
give,457
florida,1949
cited,1473
currency,780
woman,1240
ual,389
want,391
drive,1550
times,425
totaled,1358
guarantee,1979
end,268
recovery,1665
turn,882
provide,608
travel,1393
damage,575
machine,1150
how,269
DGDGDG,42
interview,1235
DGDG.DGDGDG,755
regional,1381
minority,1479
after,95
damaged,1800
modest,1523
president,90
law,300
purchase,500
attempt,1109
third,297
amid,1539
headquarters,1285
maintain,1430
democratic,1029
order,545
operations,247
senators,1961
office,307
over,111
expects,443
london,417
japan,234
mayor,1968
before,171
personal,694
",",0
better,515
production,390
weeks,439
then,238
dec.,994
affected,1719
weakness,1791
break,1653
effects,1792
they,47
schools,1772
bank,120
represents,1671
30-year,1429
each,241
went,765
side,1073
bond,293
financial,160
suspended,1918
series,493
carry,1541
trading,88
substantially,1799
temporary,1930
burnham,1943
network,754
tomorrow,1621
got,636
sept.,644
written,1999
veto,1148
u.s.,71
little,354
free,829
standard,760
estimate,938
wanted,1057
created,1066
days,192
pence,1340
uses,1931
r.,1209
industrial,442
economists,1117
primary,1779
hearing,1713
another,226
electronic,1315
rated,1790
service,366
top,541
needed,957
rates,195
too,334
percentage,807
john,419
urban,1960
collapse,1592
took,480
rejected,1312
direct,1246
western,719
target,1350
showed,1033
likely,418
nations,1584
project,832
matter,1219
acquisition,492
bridge,1498
boston,692
mind,1853
talking,1901
seen,955
seem,1098
seek,1042
relatively,1272
forced,1161
strength,1559
responsible,1928
-,1400
client,1747
forces,1292
transactions,1134
involving,1652
germany,752
letter,1030
consumers,1162
environmental,988
medical,845
flow,1672
competitors,1497
points,382
consumer,641
dow,375
came,554
reserve,721
d.,688
saying,728
ending,1603
showing,1698
radio,1732
judges,1972
finally,1468
proposed,508
bush,286
do,105
exports,1106
de,1032
stop,1157
preferred,1081
coast,1895
despite,499
report,271
volatility,970
runs,1666
jaguar,656
countries,725
bay,865
bad,920
release,1823
secretary,693
headed,1697
disaster,1510
w.,1831
decided,1110
result,441
resigned,1277
best,629
subject,983
said,19
capacity,1191
away,616
irs,1188
future,522
approach,1438
co.,113
profitable,1637
we,77
men,1008
terms,546
wo,447
weak,1513
however,244
retirement,1428
news,320
convertible,1037
debt,225
improve,1276
suggested,1981
received,555
protect,1912
met,1293
country,400
over-the-counter,1306
DGDG,14
against,198
players,1678
supplies,1876
planned,969
faces,1824
argue,1987
asked,639
tough,1376
appeared,1932
tons,1093
trust,485
telecommunications,1907
conference,926
puts,1997
basis,917
union,327
three,154
been,69
.,2
commission,472
much,140
interest,149
expected,186
life,423
so-called,1426
families,1969
eastern,806
drugs,1521
republicans,1744
worked,1436
slowdown,1820
commerce,1263
has,38
publicly,1492
air,489
ventures,1755
near,982
appeals,1897
aid,965
property,799
study,958
launched,1696
seven,953
climbed,1367
mexico,1555
is,18
it,20
expenses,1144
ii,1957
experts,1467
world-wide,1489
in,9
victims,1573
if,82
hong,841
things,621
make,163
complex,1738
split,1589
several,259
couple,1664
european,601
independent,891
hand,1084
ownership,1543
opportunity,1532
kept,1699
programs,590
settled,1649
savings,676
materials,1372
claims,653
the,1
corporate,376
investments,798
left,710
quoted,1205
yen,290
human,1305
yet,427
previous,604
adding,1301
buyers,848
ease,1757
had,59
spread,1511
board,161
easy,1585
east,573
gave,1212
municipal,1495
fraud,1690
possible,509
buy-out,572
DGDG/DGDG,877
judge,437
advanced,1049
county,1317
exxon,1892
securities,143
offices,1215
officer,329
night,1040
security,684
attorney,782
right,415
old,433
deal,481
people,134
election,1707
short-term,1034
specific,1290
for,13
when,85
individuals,1379
steps,1717
core,1750
marketing,618
corn,1730
conventional,1980
discount,1204
restructuring,705
plc,967
losing,1787
brokerage,802
post,1023
manufacturing,812
properties,1404
georgia-pacific,1871
chapter,1466
dollars,609
months,144
magazine,809
plus,1740
afternoon,1564
efforts,741
slightly,772
