,accuracy,lambda_1,lambda_2,lambda_3
0,0.923174713962,0.0,0.0,1.0
1,0.935588403919,0.0,0.1,0.9
2,0.940823092455,0.0,0.2,0.8
3,0.944188249371,0.0,0.3,0.7
4,0.946182416432,0.0,0.4,0.6
5,0.947902385522,0.0,0.5,0.5
6,0.94937308373,0.0,0.6,0.4
7,0.950270458908,0.0,0.7,0.3
8,0.950993344467,0.0,0.8,0.2
9,0.951117979909,0.0,0.9,0.1
10,0.615649226014,0.0,1.0,0.0
11,0.93872921704,0.1,0.0,0.9
12,0.942916967869,0.1,0.1,0.8
13,0.945609093402,0.1,0.2,0.7
14,0.947204427051,0.1,0.3,0.6
15,0.949348156642,0.1,0.4,0.5
16,0.950943490291,0.1,0.5,0.4
17,0.95196550091,0.1,0.6,0.3
18,0.952563751028,0.1,0.7,0.2
19,0.952962584441,0.1,0.8,0.1
20,0.615649226014,0.1,0.9,0.0
21,0.94376448887,0.2,0.0,0.8
22,0.946406760226,0.2,0.1,0.7
23,0.949073958671,0.2,0.2,0.6
24,0.950619438143,0.2,0.3,0.5
25,0.951890719645,0.2,0.4,0.4
26,0.952713313558,0.2,0.5,0.3
27,0.953560834559,0.2,0.6,0.2
28,0.953486053294,0.2,0.7,0.1
29,0.615649226014,0.2,0.8,0.0
30,0.947129645786,0.3,0.0,0.7
31,0.949672208789,0.3,0.1,0.6
32,0.950968417379,0.3,0.2,0.5
33,0.952289553057,0.3,0.3,0.4
34,0.953311563676,0.3,0.4,0.3
35,0.954383428472,0.3,0.5,0.2
36,0.95455791809,0.3,0.6,0.1
37,0.788618291497,0.3,0.7,0.0
38,0.949697135878,0.4,0.0,0.6
39,0.951516813321,0.4,0.1,0.5
40,0.953211855323,0.4,0.2,0.4
41,0.954034449236,0.4,0.3,0.3
42,0.954707480619,0.4,0.4,0.2
43,0.955031532767,0.4,0.5,0.1
44,0.788842635292,0.4,0.6,0.0
45,0.951566667498,0.5,0.0,0.5
46,0.952962584441,0.5,0.1,0.4
47,0.95425879303,0.5,0.2,0.3
48,0.954607772266,0.5,0.3,0.2
49,0.955156168208,0.5,0.4,0.1
50,0.615649226014,0.5,0.5,0.0
51,0.952738240646,0.6,0.0,0.4
52,0.954009522148,0.6,0.1,0.3
53,0.954682553531,0.6,0.2,0.2
54,0.955280803649,0.6,0.3,0.1
55,0.788992197821,0.6,0.4,0.0
56,0.954233865942,0.7,0.0,0.3
57,0.954956751502,0.7,0.1,0.2
58,0.955305730738,0.7,0.2,0.1
59,0.789316249969,0.7,0.3,0.0
60,0.95498167859,0.8,0.0,0.2
61,0.955006605678,0.8,0.1,0.1
62,0.789241468704,0.8,0.2,0.0
63,0.955505147444,0.9,0.0,0.1
64,0.78901712491,0.9,0.1,0.0
65,0.615649226014,1.0,0.0,0.0
